pr,	Year, Month, Country
161.335,1964,6,KOR
303.303,1964,7,KOR
142.24,1964,8,KOR
265.793,1964,9,KOR
37.2255,1964,10,KOR
20.8809,1964,11,KOR
10.2942,1964,12,KOR
29.7478,1965,1,KOR
17.2305,1965,2,KOR
40.4469,1965,3,KOR
56.4771,1965,4,KOR
79.0166,1965,5,KOR
40.2738,1965,6,KOR
544.327,1965,7,KOR
209.113,1965,8,KOR
22.4823,1965,9,KOR
46.9158,1965,10,KOR
104.297,1965,11,KOR
20.5595,1965,12,KOR
9.19357,1966,1,KOR
52.4683,1966,2,KOR
131.622,1966,3,KOR
64.8735,1966,4,KOR
99.6366,1966,5,KOR
158.353,1966,6,KOR
347.03,1966,7,KOR
251.905,1966,8,KOR
139.939,1966,9,KOR
88.9668,1966,10,KOR
53.5308,1966,11,KOR
13.5144,1966,12,KOR
33.2652,1967,1,KOR
31.4173,1967,2,KOR
68.8208,1967,3,KOR
104.6,1967,4,KOR
46.3484,1967,5,KOR
179.483,1967,6,KOR
221.981,1967,7,KOR
142.897,1967,8,KOR
142.864,1967,9,KOR
36.3568,1967,10,KOR
79.4225,1967,11,KOR
8.11803,1967,12,KOR
9.04433,1968,1,KOR
12.5911,1968,2,KOR
58.155,1968,3,KOR
40.8618,1968,4,KOR
57.6679,1968,5,KOR
63.0532,1968,6,KOR
238.225,1968,7,KOR
292.853,1968,8,KOR
84.3823,1968,9,KOR
130.859,1968,10,KOR
46.8315,1968,11,KOR
29.3001,1968,12,KOR
65.3227,1969,1,KOR
63.0998,1969,2,KOR
28.9095,1969,3,KOR
192.039,1969,4,KOR
141.735,1969,5,KOR
90.2795,1969,6,KOR
317.056,1969,7,KOR
326.603,1969,8,KOR
282.757,1969,9,KOR
9.28313,1969,10,KOR
32.6371,1969,11,KOR
31.0362,1969,12,KOR
5.1923,1970,1,KOR
55.0483,1970,2,KOR
14.8582,1970,3,KOR
77.736,1970,4,KOR
118.552,1970,5,KOR
174.161,1970,6,KOR
441.224,1970,7,KOR
250.255,1970,8,KOR
287.435,1970,9,KOR
83.5949,1970,10,KOR
26.2455,1970,11,KOR
20.0058,1970,12,KOR
40.672,1971,1,KOR
36.7194,1971,2,KOR
54.7734,1971,3,KOR
53.3376,1971,4,KOR
98.9631,1971,5,KOR
247.538,1971,6,KOR
293.084,1971,7,KOR
259.964,1971,8,KOR
111.408,1971,9,KOR
15.1956,1971,10,KOR
13.3009,1971,11,KOR
16.6031,1971,12,KOR
80.2424,1972,1,KOR
41.2244,1972,2,KOR
143.384,1972,3,KOR
77.0492,1972,4,KOR
133.165,1972,5,KOR
93.8723,1972,6,KOR
276.514,1972,7,KOR
460.801,1972,8,KOR
141.659,1972,9,KOR
39.334,1972,10,KOR
108.171,1972,11,KOR
28.3368,1972,12,KOR
68.3361,1973,1,KOR
20.3574,1973,2,KOR
11.8514,1973,3,KOR
124.235,1973,4,KOR
139.74,1973,5,KOR
126.755,1973,6,KOR
132.685,1973,7,KOR
138.897,1973,8,KOR
143.087,1973,9,KOR
78.4043,1973,10,KOR
31.7334,1973,11,KOR
10.4434,1973,12,KOR
21.0216,1974,1,KOR
34.0235,1974,2,KOR
53.6428,1974,3,KOR
160.241,1974,4,KOR
205.372,1974,5,KOR
119.157,1974,6,KOR
406.019,1974,7,KOR
